Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
200000005335990870,200000005335990869,200000000870817447,DRINKS,Liquor,Vodka,Chopin,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000003450355549,200000003450355548,200000000870817447,DRINKS,Liquor,Vodka,Belvedere,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870819225,200000000870819224,200000000870817447,DRINKS,Liquor,Vodka,Stoli,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001476106423,200000001476106422,200000000870817447,DRINKS,Liquor,Vodka,Stoli Raz,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001476106425,200000001476106424,200000000870817447,DRINKS,Liquor,Vodka,Stoli O,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001584230939,200000001584230938,200000000870817447,DRINKS,Liquor,Vodka,Stoli vanilla,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002927300237,200000002927300236,200000000870817447,DRINKS,Liquor,Vodka,Stoli Citrus,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002927300239,200000002927300238,200000000870817447,DRINKS,Liquor,Vodka,Stoli Blueberry,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001343595187,200000001343595186,200000000870817447,DRINKS,Liquor,Vodka,Effen,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002805185252,200000002805185251,200000000870817447,DRINKS,Liquor,Vodka,Figenza,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870819217,200000000870819216,200000000870817447,DRINKS,Liquor,Vodka,Smirnoff,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
