Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
200000003750099004,200000003750099003,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Chateau du Trignon,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000007379753500,200000007379751399,200000001207517138,DRINKS,Wine,Bottles/Red,BTL McManis Merlot,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000007520773485,200000007520773484,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Haute Blanville Pinot Noir,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000007520773487,200000007520773486,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Paul Buisse Chinon ( Cabernet Franc),0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000007871666211,200000007871666210,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Fantini Montepulciano,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009320924060,200000009320924059,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Santa Julia Malbes,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009320924062,200000009320924061,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Beaujolais Villages,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009615770138,200000009615770137,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Le Charmel Pinot Noir,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009709718051,200000009709718050,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Sea Sun Pinot Noir,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517205,200000001207517204,200000001102433494,DRINKS,Wine,Bottles/White,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517207,200000001207517206,200000001207517205,DRINKS,Wine,Bottles/White,BTL Harken Chardonnay,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000003750095684,200000003750095683,200000001207517205,DRINKS,Wine,Bottles/White,BTL Cuvee Rene Pinot Blanc,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002917967343,200000002917967342,200000001207517205,DRINKS,Wine,Bottles/White,BTL Ferrari Carano Pinot Grigio,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517213,200000001207517212,200000001207517205,DRINKS,Wine,Bottles/White,BTL Gradis'Ciutta Pinot Grigio,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000003750094403,200000003750094402,200000001207517205,DRINKS,Wine,Bottles/White,BTL Sella & Mosca Vermentino,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002917967367,200000002917967366,200000001207517205,DRINKS,Wine,Bottles/White,BTL Dr. L Riesling,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002630460773,200000002630460772,200000001207517205,DRINKS,Wine,Bottles/White,BTL Ponga Sauvignon Blanc,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001483974584,200000001483974583,200000001207517205,DRINKS,Wine,Bottles/White,BTL Allegro Moscato,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000004921200331,200000004921200330,200000001207517205,DRINKS,Wine,Bottles/White,BTL Forge Cellars Riesling,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000004921207474,200000004921207473,200000001207517205,DRINKS,Wine,Bottles/White,BTL Yalumba Viognier,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517211,200000001207517210,200000001207517205,DRINKS,Wine,Bottles/White,BTL The Snitch Chardonnay,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207520399,200000001207520398,200000001207517205,DRINKS,Wine,Bottles/White,BTL Blindfold by The Prisoner,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207520451,200000001207520450,200000001207517205,DRINKS,Wine,Bottles/White,BTL Domaine Cherrier Sancerre,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000006682331461,200000006682331460,200000001207517205,DRINKS,Wine,Bottles/White,BTL Hahn Chardonnay,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000007520865454,200000007520865453,200000001207517205,DRINKS,Wine,Bottles/White,BTL Indaba Sauvignon Blanc,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000007967956157,200000007967956156,200000001207517205,DRINKS,Wine,Bottles/White,BTL Haut Blanville Chardonnay,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009320962354,200000009320962353,200000001207517205,DRINKS,Wine,Bottles/White,BTL Zenato Rose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009320962356,200000009320962355,200000001207517205,DRINKS,Wine,Bottles/White,BTL Robert Mondavi Fume Blanc,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000009320962358,200000009320962357,200000001207517205,DRINKS,Wine,Bottles/White,BTL Terre Brulee Chenin Blanc,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
